Majskorn frysvara;347;99;1.5;0.6;15.6;3.6;3;0
Mangold;348;21;0.2;0;2.6;0.3;1.8;0.5
Nässlor förvällda;349;30;0.7;0.1;0.6;0.1;4.1;0
Paprika grön;350;18;0.1;0;3;3;0.5;0
Paprika röd;351;22;0.2;0;4.1;4.9;0.5;0
Persilja blad;352;35;0.3;0;4.4;0.8;2.2;0.1
Pumpa;353;26;0.1;0;4.4;2.7;1;0
Purjolök;354;30;0.2;0;4.1;4;1.6;0
Rödkål;355;31;0.3;0.1;4.7;5;1.1;0
Savojkål;357;28;0.1;0;3.6;3.2;2;0.1
Salladskål;358;21;0.1;0;2.7;2.5;1.3;0
Sockerärtor;359;37;0.2;0;4.3;3.5;3.4;0
Spenat frysvara;361;20;0.6;0.1;0.5;0.6;2.2;0
Squash;362;14;0.1;0;2.5;3;0;0
Tomat;364;18;0.1;0;2.6;2.8;0.8;0
Tomat torkad m. olja;365;190;12.5;1.3;8.7;8.8;5;3.1
Trädgårdskrasse;366;37;0.7;0;4.3;0.2;2.6;0
Vattenkrasse;367;15;0.3;0.1;0.5;0;1.9;0.1
Vaxbönor;368;32;0.1;0;4.7;1.4;1.8;0
Vaxbönor frysvara;369;29;0.1;0;3.8;1.4;1.8;0
Vitkål;370;30;0.1;0;4.7;5.7;1.1;0
Vitlök;371;160;0.5;0.1;31.1;3.9;6.4;0
Aubergine;372;19;0.1;0;2.2;2.6;1.1;0
Gröna ärtor frysvara;374;69;0.4;0.1;8.9;5;5.2;0.1
Sparris grön el. vit färsk kokt. ;375;27;0.2;0;2.4;1.2;3.1;0
Alfalfagroddar;376;32;0.7;0.1;0.9;0.8;4;0
Dill färsk;377;58;0.8;0.1;7.4;0.8;3.7;0.1
Gräslök;378;28;0.6;0.1;1.7;1.7;2.8;0
Basilika färsk;379;25;0.6;0;0.4;0.3;2.5;0
Chilipeppar färsk;380;47;0.2;0;9.2;4.5;2;0
Paprika gul;381;24;0.2;0;4.3;5;0.5;0
Paprika grön röd frysvara;382;26;0.4;0.1;3;3;1;0.2
Champinjon skivad frysvara;383;19;0.4;0.1;0.8;0.2;2;0
Linsgroddar;384;125;0.6;0.1;19.1;0.8;9;0
Lök gul frysvara;385;28;0;0;4.1;4.8;1.5;0
Grönsaksblandning m. ärtor bönor majs morot typ amerikansk frysvara;386;68;0.5;0.1;11.1;1.9;3.3;0.1
Grönsaksblandning m. ärtor bönor morot blomkål typ sommargrönsaker frysvara;387;38;0.5;0.1;4.5;1.9;2.4;0.1
Grönsaksblandning m. ärtor morot frysvara;388;60;0.5;0.1;9;1.9;3.7;0.1
Grönsaksblandning m. ärtor majs paprika frysvara;389;66;0.5;0.1;8.7;1.9;4.2;0
Sallad m. grönsallat gurka tomat u. dressing;390;16;0.1;0;2.4;2.2;0.9;0
Paprika grön gul röd;392;22;0.2;0;4;4.6;0.5;0
Bambuskott konserv. u. lag;393;24;0.2;0;1.7;1.2;2.7;0
Gröna bönor konserv. u. lag;395;21;0.1;0;3;1.3;1.2;0.6
Champinjon konserv. m. lag;397;15;0.1;0;0.9;0.2;1.9;1
Majskorn konserv. u. lag;400;80;1.5;0.3;12.9;5.8;2.1;0.4
Oliver gröna m. paprikafyllning avrunna;401;128;13.1;2;1.1;0;0.6;3.4
Oliver svarta m. olja avrunna;402;142;14.1;1.6;1.8;0;0.8;2
Grönsaksblandning el. pickels sockrad inlagd u. lag;403;116;0.1;0;26.1;26.5;1.5;0
Sparris vit konserv. u. lag;404;15;0.7;0;0.5;1.1;0.9;0.7
Sparrissoppa tillagad redd konserv. veg.;405;35;1.7;0.4;3.7;0.6;0.9;1
Surkål konserv. m. lag;406;17;0.2;0;2;0.1;0.9;0.8
Tomat hel konserv. m. lag;407;25;0.1;0;4.4;3.8;1.1;0
Tomatjuice konserv. drickf.;408;18;0.1;0;2.7;3.2;0.8;0.9
Tomatpuré konc. konserv.;410;84;0.2;0;13.5;12.9;4.4;0.1
Vaxbönor konserv. u. lag;411;24;0.3;0.1;2.5;1.3;1.4;0.6
Gröna ärtor konserv. m. lag;412;63;0.3;0.1;10.5;4;3.5;0.6
Gröna ärtor konserv. u. lag;413;60;0.4;0.1;7.3;3.6;4.4;0.5
Mungbönsgroddar konserv. u. lag;414;16;0.1;0;0.8;0.8;1.4;0.6
Sojabönsgroddar konserv. u. lag;415;16;0.2;0;0.6;0.4;1.6;0.2
Paprikasallad inlagd u. lag;416;31;0.4;0.1;4.3;4.5;1;1.3
Ajvar relish;417;70;3.5;0.4;6.9;7.6;1.2;1.2
Svamp konserv. u. lag;418;23;0.5;0.1;0.9;0.2;2.5;0.4
Kantarell konserv. u. lag;419;36;0.7;0.2;4.8;0.4;1.4;0.4
Syltlök inlagd;420;83;0.1;0;18.7;5;0.9;0.4
